Categoría,Nombre producto en Español,Nombre producto en Inglés,Descripción,Palabras claves,Link
Tarjetas crédito,Ejecución pagos tarjetas crédito,Card Payment Execution,"Gestiona pago de las obligaciones propias o de terceros del producto Tarjeta de Crédito, con débito a cuentas propias o a cuentas de otras entidades financieras mediante nuestros canales o procesos internos del Banco.","Pagar tarjeta de crédito, Abono tarjeta de crédito, Pago Mínimo, Pago total, tarjetas, tarjeta, medios de pago, pago tarjeta, pagar tarjeta, pago tarjeta crédito, medios de pago, tarjetas",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-creditodebitoaceptacion.aspx
Vinculación y actualización,Validación de documentos,Customer Acquisition Docs,"Carga, procesa, extrae y valida los datos líquidos de los documentos soporte de los procesos de conocimiento del cliente.","Vinculacion completa PN, Vinculacion completa PJ, Vinculación simplificada PN, Vincular NO clientes, Vincular PN, Vincular PJ",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-ServiciosdeVinculacionYActualizacion.aspx
Vinculación y actualización,Solicitudes de clientes,Customer Acquisition,Realizar solicitud de vinculación de un cliente perfilándolo de acuerdo a sus necesidades y generando notificaciones del proceso relevantes para el potencial cliente.,"Vinculacion completa PN, Vinculacion completa PJ, Vinculación simplificada PN, Vincular NO clientes, Vincular PN, Vincular PJ",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-ServiciosdeVinculacionYActualizacion.aspx
Vinculación y actualización,Solicitud información cliente,Customer Acquisition Data,"Captura los datos del potencial cliente Persona Natural o Persona Jurídica, buscando garantizar su conocimiento a través de la solicitud de información personal, básica, de contacto, económica, tributaria y de moneda extranje","conocimiento cliente, cliente, datos, persona natural, persona jurídica, información personal",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-ServiciosdeVinculacionYActualizacion.aspx
Tarjetas débito,Tarjeta Débito,Debit Card,"Consulta, gestiona y aplica novedades administrativas al producto Tarjetas Débito, desde diferentes canales o precesos del Banco","Bloqueo tarjeta, Desbloqueo tarjeta, Listar tarjetas activas, Listar tarjetas bloqueadas, Listar tarjetas Pendientes por activar, Listar tarjetas canceladas, consultar código de seguridad, Tope tarjeta débito, tarjetas, tarjeta, débito, medios de pago, cuota de manejo, código de seguridad, tarjetas canceladas, activar tarjeta",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-tarjetasdebito.aspx
Tarjetas débito,Tarjeta Débito virtual,Virtual Debit Card,Expone el detalle de los movimientos realizados con las tarjetas débito virtual,"Movimientos, Tarjeta virtual, tarjetas, medios de pago",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-tarjetasdebito.aspx
Tarjetas débito,Diseño tarjetas Débito,Debit Card Design,Consulta el detalle de las tarifas asociadas a las Tarjetas Débito que posee un cliente para ser visualizadas a través de diferentes canales y ser utilizadas a través de los diferentes procesos.,"Consultar cuota de manejo, cuota de manejo, tarjetas, tarjeta, débito, medios de pago",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-tarjetasdebito.aspx
Filiales del exterior,,Counter Party Administration,"Obtiene un consolidado de toda la información adicional que es necesaria al momento de la ejecución de una transferencia internacional, como por ejemplo los códigos de enrutamiento.","Transferencias, Transferencias externas, paises, transferencias internacionales, transferencias en otras monedas",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-FilialesExterior.aspx
Filiales del exterior,Cuentas,Accounts,Consulta los saldos de cuentas corriente y ahorros,"Saldos consolidados, Filiales del Exterior, Productos Filiales del Exterior, Cliente filiales, Saldo consolidado por cliente, filiales, saldos, cuentas",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-FilialesExterior.aspx
Filiales del exterior,Tarjeta,Card,Consulta información básica y movimietnos de una tarjeta,"Movimientos, tarjeta de crédito, Cayman, información, TDC, Filiales del Exterior, Detalle Tarjeta",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-FilialesExterior.aspx
Filiales del exterior,,Correspondent Bank,Consulta información de bancos internacionales y sus sucursales.,"Bancos Internacionales, SWIFT, Código SWIFT, Transferencias, Bancos del Exterior, Filiales del Exterior, Sucursales Exterior, Branches",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-FilialesExterior.aspx
Filiales del exterior,,Currency Exchange Deposit,Consulta el valor de la tasa de cambio.,"Tasa de Cambio, conversión, moneda, moneda origen, moneda destino",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-FilialesExterior.aspx
Filiales del exterior,,Accounts Foreign Branches,Consulta los saldos de un cliente para una filial específica,"filiales, saldos, cuentas",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-FilialesExterior.aspx
Filiales del exterior,,Fixed Deposit Account,Activa o desactiva la renovación automática de la inversión virtual que nace por defecto cuando el cliente adquiere el producto.,"Consulta saldos, Depósito a Plazo ME, CDT ME, Saldo detallado, saldo a nivel de cliente",https://bancolombia.sharepoint.com/sites/co-gaps/SitePages/epc-FilialesExterior.aspx
